timestamp,block_height,size,fees,price,num_txs,weight
1541428634,548872,1116763,0.0679511900000005,6418.362435,2631,3992989
1541429650,548876,1208412,0.20711859999999932,6410.123899,2569,3998580
1541430910,548878,1217029,0.14062479999999944,6412.961615,2636,3998566
1541431569,548879,1251029,0.17542251000000064,6409.098040999999,2614,3993164
1541432111,548883,1136948,0.11415095000000085,6413.211046,2584,3992867
1541433242,548886,1224652,0.18414207000000005,6409.737365999999,2728,3993286
1541435291,548889,1199259,0.14970972999999965,6405.687465999999,2549,3992817
1541437395,548892,1245120,0.2555908999999996,6400.03196,2817,3992784
1541438477,548895,1153486,0.10110277000000067,6399.884287,2669,3993349
1541440155,548898,1161530,0.1066724600000004,6384.9378719999995,2879,3993356
1541440634,548899,1264615,0.11725992999999944,6386.497265,2172,3992851
1541442194,548900,1294207,0.2193623999999996,6391.0148340000005,3095,3993325
1541445600,548907,1189350,0.1119342200000002,6379.082882,2071,3993060
1541450041,548914,1347066,0.2424526,6383.499640999999,2390,3998577
1541454378,548920,1172888,0.09560293999999914,6400.81,2355,3992909
1541454616,548921,1508719,0.055804780000000775,6400.36,1654,3993265
1541455037,548922,1190274,0.06360886999999947,6401.915972,1679,3993099
1541459053,548931,313294,0.02573353999999917,6403.81,822,1025269
1541459836,548933,1000436,0.07268958999999953,6392.703601,2055,3307895
1541472498,548951,1265093,0.10626077000000043,6399.941087,3416,3992915
1541475663,548957,1117357,0.0671938799999996,6388.17,1838,3993031
1541476563,548960,910277,0.07726888999999915,6388.631286,1730,3255107
1541477704,548961,1144865,0.15263962999999947,6388.15,3174,3992885
1541478913,548964,1162687,0.020199010000000683,6394.503764,2874,3993109
1541480344,548966,453436,0.11679290000000007,6394.79,737,1579378
1541480461,548967,1140104,0.07240945999999937,6393.7449,3402,3993050
1541483220,548972,1139202,0.11095655999999998,6397.33,2108,3992703
1541484133,548974,1109617,0.18363510000000005,6397.71,1667,3993298
1541485742,548978,1434,8.324999999942406e-05,6400.48447,6,5301
1541489659,548985,1261862,0.20801299999999934,6402.723311,2684,3993140
1541495642,548990,1204674,0.1109274899999999,6419.301969,2823,3993066
1541497517,548994,1131535,0.10111689999999918,6413.0636810000005,1842,3993304
1541503201,549001,1226600,0.14695739000000074,6414.109536999999,3080,3993233
1541504044,549003,1182224,0.12479599000000086,6409.192322,2592,3992873
1541506819,549006,1223146,0.0750339199999992,6407.814103,2181,3993370
1541507719,549007,1202074,0.2137005700000003,6410.9845350000005,2784,3993349
1541509096,549008,1213451,0.22824315000000084,6403.960523,3211,3992906
1541512746,549013,1257325,0.19579403999999911,6411.387892,2817,3992935
1541513407,549015,1189611,0.1676295200000002,6415.71,2369,3993243
